Mac Book One,12,8,256,1300,1.1,Intel Core m3,10,Force Touch,2.03
Mac Book Two,12,8,512,1600,1.2,Intel Core m5,10,Force Touch,2.03
Mac Book Air One,13,8,128,1000,1.6,Intel Core i5,12,Multi-Touch,2.96
Mac Book Air Two,13,8,256,1200,1.6,Intel Core i5,12,Multi-Touch,2.96
Mac Book Pro One,13.3,8,256,1500,2,Intel Core i5,10,Force Touch,3.02
Mac Book Pro Touch Bar One,13.3,8,256,1800,2.9,Intel Core i5,10,Force Touch,3.02
Mac Book Pro Touch Bar Two,13.3,8,512,2000,2.9,Intel Core i5,10,Force Touch,3.02
Mac Book Pro Two,13.3,8,128,1299,2.7,Intel Core i5,10,Force Touch,3.02
Mac Book Pro Touch Bar Three,15,16,256,2400,2.6,Intel Core i7,10,Force Touch,4.02
Mac Book Pro Touch Bar Four,15,16,512,2800,2.7,Intel Core i7,10,Force Touch,4.02
Mac Book Pro Three,15,16,256,2000,2.2,Intel Core i7,10,Force Touch,4.02